city_name,place_to_visit,place_name,avg_scoreR
Agra,Hotels,Holiday_Inn,4.7
Agra,Hotels,Jaypee_Palace_Hotel,4.5
Agra,Hotels,Bansi_Home_Stay,4.4
Agra,Hotels,Hotel_Taj_Resorts,4.2
Agra,Hotels,Howard_Plaza,3.8
Agra,Hotels,The_Grand_Imperial,3.6
Agra,Hotels,Tajview_Agra,3.5
Agra,Restaurant,The_Salt_Cafe,4.6
Agra,Restaurant,Tea_se_Me,4.6
Agra,Restaurant,Bob_Marley_Cafe,4.3
Agra,Restaurant,Good_Vibes_Cafe,4.3
Agra,Restaurant,Bambino_Cafe,4.2
Agra,Restaurant,The_Global_Savou,4.2
Agra,Restaurant,Pinch_of_Spice,3.3
Agra,Things,Courtyard_by_Marriott,4.4
Agra,Things,Wildlife_SOS,4.1
Agra,Things,Tomb_of_Itimad_ud_Daulah,3.9
Agra,Things,Ganges_River,3.6
Agra,Things,Agra_Fort,3.4
Agra,Things,Taj_Mahal,3.2
Agra,Things,Diwan_i_Am_Agra,2.9
Agra,Things,Shri_Kashi_Vishwanath_Temple,2.4
Agra,Things,Jama_Masjid,2.2
